Geogrpahic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
620,Portugal,PRT,-7.96159982681274,39.6850929260254,Europe and Northern America,2018,F,15 to 49 years old,4.4,2.2,8.7,E
410,Republic of Korea,KOR,127.861022949219,36.4520111083984,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,8.0,4.6,13.6,E
498,Republic of Moldova,MDA,28.4650630950928,47.2023696899414,Europe and Northern America,2018,F,15 to 49 years old,9.1,5.2,15.2,E
642,Romania,ROU,24.9848098754883,45.8389358520508,Europe and Northern America,2018,F,15 to 49 years old,6.9,3.9,11.9,E
646,Rwanda,RWA,29.9231014251709,-1.99984216690063,Sub-Saharan Africa,2018,F,15 to 49 years old,23.5,15.5,33.5,E
882,Samoa,WSM,-172.443069458008,-13.6154146194458,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,17.8,9.3,31.8,E
678,Sao Tome and Principe,STP,6.60977220535278,0.241554871201515,Sub-Saharan Africa,2018,F,15 to 49 years old,18.1,10.0,30.7,E
686,Senegal,SEN,-14.4663696289063,14.359209060669,Sub-Saharan Africa,2018,F,15 to 49 years old,12.4,6.9,21.2,E
688,Serbia,SRB,20.8058757781982,44.0314559936523,Europe and Northern America,2018,F,15 to 49 years old,3.9,2.0,7.4,E
694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,2018,F,15 to 49 years old,19.8,11.4,32.4,E
702,Singapore,SGP,103.810791015625,1.36100912094116,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,2.4,1.0,5.7,E
703,Slovakia,SVK,19.484956741333,48.7074127197266,Europe and Northern America,2018,F,15 to 49 years old,5.9,2.9,11.5,E
705,Slovenia,SVN,14.8220949172974,46.1195793151855,Europe and Northern America,2018,F,15 to 49 years old,3.4,1.7,6.5,E
90,Solomon Islands,SLB,160.158416748047,-9.62239170074463,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,28.1,15.4,45.8,E
710,South Africa,ZAF,24.6718444824219,-29.9995746612549,Sub-Saharan Africa,2018,F,15 to 49 years old,13.1,7.1,22.6,E
728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,2018,F,15 to 49 years old,26.7,12.7,47.7,E
724,Spain,ESP,-3.5540783405304,40.3921165466309,Europe and Northern America,2018,F,15 to 49 years old,2.9,1.8,4.7,E
144,Sri Lanka,LKA,80.7048950195313,7.61469316482544,Central and Southern Asia,2018,F,15 to 49 years old,4.1,1.7,9.0,E
270,Gambia,GMB,-15.3994474411011,13.452959060669,Sub-Saharan Africa,2018,F,15 to 49 years old,10.0,5.3,18.3,E
268,Georgia,GEO,43.3713607788086,42.0481300354004,Northern Africa and Western Asia,2018,F,15 to 49 years old,2.9,1.3,6.3,E
288,Ghana,GHA,-1.2056235074997,7.96482515335083,Sub-Saharan Africa,2018,F,15 to 49 years old,10.2,5.8,17.3,E
300,Greece,GRC,22.5830783843994,39.4730186462402,Europe and Northern America,2018,F,15 to 49 years old,5.1,2.5,10.0,E
308,Grenada,GRD,-61.682487487793,12.1123838424683,Latin America and the Caribbean,2018,F,15 to 49 years old,7.8,4.0,14.5,E
320,Guatemala,GTM,-91.2312774658203,15.0027370452881,Latin America and the Caribbean,2018,F,15 to 49 years old,7.3,4.3,12.1,E
324,Guinea,GIN,-11.2817344665527,11.002103805542,Sub-Saharan Africa,2018,F,15 to 49 years old,20.8,12.1,33.4,E
328,Guyana,GUY,-58.9732208251953,4.78801298141479,Latin America and the Caribbean,2018,F,15 to 49 years old,10.5,5.7,18.5,E
332,Haiti,HTI,-72.3364105224609,18.4042644500732,Latin America and the Caribbean,2018,F,15 to 49 years old,12.2,8.0,17.9,E
340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,2018,F,15 to 49 years old,7.2,4.4,11.7,E
348,Hungary,HUN,19.4122142791748,47.1651458740234,Europe and Northern America,2018,F,15 to 49 years old,5.7,2.8,11.3,E
352,Iceland,ISL,-19.0211696624756,64.7913513183594,Europe and Northern America,2018,F,15 to 49 years old,2.8,1.8,4.3,E
356,India,IND,79.3608474731445,22.3464202880859,Central and Southern Asia,2018,F,15 to 49 years old,18.4,11.3,28.4,E
360,Indonesia,IDN,113.91739654541,-0.994582176208496,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,8.9,3.8,19.6,E
364,Iran (Islamic Republic of),IRN,54.1976623535156,32.743709564209,Central and Southern Asia,2018,F,15 to 49 years old,17.6,7.4,36.2,E
372,Ireland,IRL,-7.12142515182495,53.2527389526367,Europe and Northern America,2018,F,15 to 49 years old,3.3,1.8,6.1,E
376,Israel,ISR,34.6227798461914,31.0616455078125,Northern Africa and Western Asia,2018,F,15 to 49 years old,5.6,3.0,10.4,E
380,Italy,ITA,12.5702238082886,42.7991714477539,Europe and Northern America,2018,F,15 to 49 years old,3.5,2.2,5.8,E
388,Jamaica,JAM,-77.3106842041016,18.1561679840088,Latin America and the Caribbean,2018,F,15 to 49 years old,7.3,4.3,12.1,E
392,Japan,JPN,139.271606445313,36.6554527282715,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,3.9,1.4,10.3,E
400,Jordan,JOR,37.1302490234375,30.6536598205566,Northern Africa and Western Asia,2018,F,15 to 49 years old,13.5,8.7,20.3,E
398,Kazakhstan,KAZ,66.6535949707031,48.0196342468262,Central and Southern Asia,2018,F,15 to 49 years old,6.0,3.0,11.4,E
404,Kenya,KEN,37.860969543457,0.534797251224518,Sub-Saharan Africa,2018,F,15 to 49 years old,22.8,15.1,32.8,E
296,Kiribati,KIR,-157.564300537109,1.76883769035339,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,25.2,13.6,42.5,E
417,Kyrgyzstan,KGZ,74.5232467651367,41.462043762207,Central and Southern Asia,2018,F,15 to 49 years old,13.3,7.0,23.8,E
418,Lao People's Dem. Rep.,LAO,101.990196228027,20.2748279571533,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,8.0,4.2,15.1,E
